<a href="https://www.youtube.com/watch?v=eEn2wyDZiyM" target="_blank">ADVANCED IDIOMS C1 + C2</a> | 🌸6*on the ball*🌸👉: | Meaning:✦ be quick to understand and react to things; to be ready and alert; (to be) on the ball | Examples:✦ You really need *to be on the ball* for the important meeting tomorrow. (Affirmative); He didn't sleep much last night, so today he*'s just not on the ball*. (Negative) | 🌸6*with flying colors*🌸👉: | Meaning:✦ to do something, such as pass an exam, successfully; Collocation ➜ to pass with flying colors; to pass 18*(something)* with flying colors | Example:✦ You both *passed with flying colors* and will be named finalist in our astronaut search.; Well you *passed* the vetting process *with flying colors*.; Well you *passed* the breathalyzer *with flying colors*. | 🌸6*turn a blind eye*🌸👉: | Meaning:✦ to ignore something that you know is wrong; to turn a blind eye to (something); to pretend not to notice something bad that is happening, so you do not have to do anything about it. | Examples:✦ The teacher *turned a blind eye* to cheating during the quiz.; I know that Emi stole the cookie, but I decided to *turn a blind eye* to the situation.; The authorities were either unaware of the problem or they *turned a blind eye* to it. | 🌸6*the easy way out*🌸👉: | Meaning:✦ refers to what is easiest in a difficult situation; to take the easy way out (collocation); to end a difficult situation by choosing the simplest solution even if it is not the best one | Example:✦ LeBron James is *taking easy way out* on offense.; Are regulators about *to take the easy way out* and declare CBD a drug?; African currencies are crashing and there is no easy way out.; He *took the easy way out* and didn't go to the meeting.; She *took the easy way out* and paid someone to write the article for her. | 🌸6*How, what, why, etc. on earth...*🌸👉: | Meaning:✦ used when you are extremely surprised, confused, or angry about something; (informal) used to emphasize the question you are asking when you are surprised or angry or cannot think of an obvious answer | Example:✦ *How on earth* did this happen?; *Why on earth* are you changing jobs?; *What on earth* is that?; *What on earth *are you doing?; *How on earth* did you get that?; How on earth can she afford that? | 🌸6*in light of (something)*🌸👉: | Meaning:✦ because of or as a result of; in light of something ; after considering something; in light of recent events (collocation) | Example:✦ *In light of recent events*, we cancelled the match.; *In light of* learning new vocabulary, I'm going to hit that LIKE button. And I know that you're not going *to turn a blind eye* to hitting that LIKE button.; He rewrote the book *in the light of* further research. | 🌸6*at the end of your ropе*🌸👉: | Meaning:✦ having no strength or patience left (adds emphasis); be at the end of your rope / tether; to feel that you cannot deal with a difficult situation any more because you are too tired, worried, etc. | Example:✦ I'm *at the end of my rope*. *Why on earth* have you not already hit the LIKE button.; You'd better let her know you're safe. She's *at the end of her rope*. | 🌸6*to the bitter end*🌸👉: | Meaning:✦ until something is finished; to / until the bitter end; continuing until you have done everything you can, or until something is completely finished, despite difficulties and problems; until something is finished — refers to an outcome that could possibly have a bad ending but you are going to continue no matter what; to fight to the bitter end (collocation) | Example:✦ I'm going to eat my food until it is finished. I'm going to eat my food to the bitter end. (inappropriate context); We may not meet the deadline, but we're going to work *to the bitter end*.; Southampton boss vows *to fight to the bitter end*; Youngsville Police Chief will *'fight until the bitter end'* in proposed investigation.; Nurses warn of more strike dates in January as they *fight to 'the bitter end'*; The were prepared *o fight to the bitter end* for their rights.; We will fight this case *to the bitter end*. | 🌸6*get off on the right / wrong foot*🌸👉: | Meaning:✦ to make a successful or unsuccessful start in something; get/start off on the right/wrong foot (with somebody); to start a relationship well / badly | Example:✦ The team did not get along, so the project *got off on the wrong foot*.; I seem to have *got off on the wrong foot* with the new boss. | 🌸6*over the top*🌸👉: | Meaning:✦ too extreme and not suitable, or exaggerated; done with too much acting, emotion or effort | Example:✦ She was supposed to buy me a small present but her gift was *way over the top*. (too extreme); It was supposed to be a friendly competition, but his performance was *a bit over the top*. (exaggerated); His performance is *completely over the top*.; an *over-the-top reaction* | 🌸6*at the crack of dawn*🌸👉: | Meaning:✦ very early in the morning, especially at the timе when the sun first appears (adds emphasis) | Example:✦ This morning, I got up *at the crack of dawn*.; We'll have to get up *at the crack of dawn* for our flight.; My grandfather has been up *since the crack of dawn*. | 🌸6*change of heart*🌸👉: | Meaning:✦ when you change your opinion or the way you feel about something; a reversal in your attitude; to have a change of heart; Often used in the past tense (someone) <br>had *a change of heart* (someone) <br>had *a sudden change of heart*; a change of heart ➜ if you have a change of heart, your attitude towards something changes, usually making you feel more friendly, helpful, etc. | Example:✦ This morning, I was going to make pancakes, but then I *had a change of heart* and I decided to cook some eggs instead. 0*(wrong context)*; She was going to sell her grandmother's necklace, but she *had a sudden change of heart*.; Dan did not want to get married but recently he's *had a change of heart*; He said he's not coming, but he might *have a change of heart*.

<a href="https://www.youtube.com/watch?v=b9yp_wddmTI" target="_blank">Advanced (C1) Idioms</a> | 

🌸16*set / put the record straight*🌸👉: | Meaning:✦ to write or say something in order to make the true facts known; to tell people the truth about something, because you want to be sure that they understand what the truth really is; to provide the facts about something that people have a false understanding or idea about; If you set the record straight or put the record straight, you show that something which has been regarded as true is in fact not true. | Example:✦ She's decided to write her memoirs *to set the record straight* once and for all.;  I would like *to set the record straight* 8*on* a few points.; Let me *set the record straight* 8*about* what really happened last week.; Let me *set the record straight* 8*on* the misconceptions contained in your article. | 

🌸16*strike a balance*🌸👉: | Meaning:✦ to achieve a state in which different things occur in equal or proper amounts or have an equal or proper amount of importance; to strike a balance between (two things); | Example:✦ You may need to *strike a balance* between... work and family.; You may need to *strike a balance* between... screen time and social activities.; You may need to *strike a balance* between... how much you make and how much you spend. | 

🌸16*(not) think twice*🌸👉: | Meaning:✦ to do something immediately without considering if it is a good idea; Often used to talk about the past. ...did not think twice; Often followed by the word 15*'about'*. ...did not think twice about (something); 8*think twice about something / about doing something* ➜ ​to think carefully before deciding to do something | Example:✦ Teen star Talles Magno '*did not think twice*' about joining NYCFC; 'I *didn't think twice*', man says after rescuing motorist who fell into sea.; 'I *did not think twice* about swallowing capsules to smuggle drugs to Malta'; You should *think twice* before you decide to smuggle drugs. (affirmative); You should *not think twice* about hitting that LIKE button.; They *didn't think twice* about laying off hundreds of employees.; You should *think twice* about employing someone you've never met. | Notes:✦ *think twice* ➜ to consider something more carefully (Often used as a warning); You might want to think twice before buying an insurance policy from them.

🌸16*at / on short notice*🌸👉: | Meaning:✦ | Example:✦ | 

🌸16*wait and see*🌸👉: | Meaning:✦ | Example:✦ | 

🌸16*take (something) at face value*🌸👉: | Meaning:✦ to believe that something is what it appears to be, without questioning it | Example:✦ *Taken at face value*, the figures look very encouraging.; You shouldn't *take* 8*anything she says* *at face value*. | 

🌸16*the best of both worlds*🌸👉: | Meaning:✦ a situation in which you can enjoy the advantages of two very different things at the same time; 8*the best of all possible worlds*; the benefits of two or more completely different situations that you can enjoy at the same time. | Example:✦ She works in the city and lives in the country, so she gets the best of both worlds.; If you enjoy the coast and the country, you'll get the best of both worlds on this walk.; Maybe in the best of all possible worlds things would be different. | Notes:✦ 8*the worst of all (possible) worlds* ➜ a situation in which you have all the possible disadvantages at the same time. | 

🌸16*(to be) in the public eye*🌸👉: | Meaning:✦ well known to many people through television, newspapers, the internet, etc. | Example:✦ She doesn't want her children growing up *in the public eye*. | 

🌸16*get / take a grip (on yourself)*🌸👉: | Meaning:✦ to improve your behaviour or control your emotions after being afraid, upset or angry | Example:✦ I have to *take a grip on myself*, he told himself firmly.; (informal) *Get a grip*! (= make an effort to control your emotions) | 

🌸16*off the record*🌸👉: | Meaning:✦ If someone says something off the record, they do not want it to be publicly reported; If you tell somebody something off the record, it is not yet official and you do not want them to repeat it publicly; If something that you say is off the record, you do not intend it to be considered as official, or published with your name attached to it. | Example:✦ She made it clear that her comments were strictly *off the record*.; Strictly *off the record, some members of staff will have to be made redundant.; I'm talking to you *off the record*; *Off the record*, he told the interviewer what he thought of his colleagues.; May I speak *off the record*?; At the end of the lunch, I said I had some *off-the-record comments*. | Synonyms: confidentially; privately; in private; in confidence | 

🌸16*up to speed*🌸👉: | Meaning:✦ If you are up to speed with a subject or activity, you have all the latest information about it and are able to do it well; If you are up to speed, you have all the most recent information that you need about something.; having the latest information or knowledge about something; | Example:✦ We arranged for some home tutoring *to get him up to speed* 10*with* the other children in his class.; Before we start the meeting I'm going *to bring you up to speed* 10*with* the latest developments.; A day has been set aside *to bring all councillors up to speed* on the proposal.; Those in charge deluded themselves they *were up to speed*.; Some school officials *are only now getting up to speed* regarding computers.; John will *bring you up to speed* (=tell you the latest information). | 

🌸16*rule of thumb*🌸👉: | Meaning:✦ | Example:✦
