a page-turner | Meaning: a book that is so interesting or exciting that you want to keep on reading | Examples: The new Thursday Murder Club novel is a real page-turner! | tags: Book idioms; British Council

don't judge a book by its cover | Meaning: don't form an opinion about something (or someone) just based on appearance | Examples: He looks shy, but he's actually a lot of fun. Don't judge a book by its cover | tags: Book idioms; British Council

a closed book | Meaning: someone who's hard to get to know | Examples: I've worked with Chris for years, but he's still a closed book to me | tags: Book idioms; British Council

to be on the same page | Meaning: to have the same understanding or the same opinion as someone else | Examples: We're both on the same page when it comes to cats over dogs as pets. | tags: Book idioms; British Council

to turn over a new leaf | Meaning: to change behaviour and start behaving better | Examples: He was so lazy last year, but this semester he's turned over a new leaf and is studying hard. | tags: Book idioms; British Council

to read between lines | Meaning: to understand the hidden meaning in what someone is saying or writing | Examples: She said she was fine, but reading between the lines, I could tell she was upset. | tags: Book idioms; British Council

