Listing | Notes: These words are often used to either put your paragraphs in order or used inside the paragraph to highlight and organise your supporting points. However, using “Firstly” and “Secondly” to start each body paragraph is considered “mechanical” which means it is like a machine and this isn’t good for people aiming for band 7 and above. So, being flexible using a combination of linking words is better. | Linking words:✦ firstly; secondly; another point to consider; a further consideration; another issue; lastly / last but not least / finally

Adding Information | Notes: You will need to support your main points in your IELTS essay. These linkers inform the reader that extra information is about to be presented. | Linking words:✦ in addition; additionally; furthermore; moreover; also; not only … but also; as well as; and

Giving Examples | Notes: It is often useful to give examples to support your ideas in IELTS writing task 2. Make sure you use this range of linking words to do so. | Linking words:✦ for example; one clear example is; for instance; such as; namely; to illustrate; as an illustration; to give a clear example; take, for example; in other words

Results and Consequences | Notes: These linking devices can be used for solution essays or any essay when you need to explain the consequences of something. | Linking words:✦ as a result; consequently; therefore; thus; hence; so; for this reason

Highlighting and Stressing | Notes: It is important to be clear about what you mean in your essay. These linking words help you stress particular points. | Linking words:✦ particularly; in particular; specifically; especially; obviously; of course; clearly

Concessions and Contrasts | Notes: You often need to give opposite ideas, particularly for discussion essays so the linking words below will help you show the reader when you want to introduce an opposite point. Also you might want to give exceptions to a rule for a concession. | Linking words:✦ admittedly; however; nevertheless; even though; although; but; despite; in spite of; still; on the other hand; by contrast; in comparison; alternatively; another option could be

Reasons and Causes | Notes: These connecting words will help you explain reasons and causes for something which is very common in IELTS writing task 2, especially for cause / solution essays. | Linking words:✦ because; owing to; due to; since; as

Giving your Opinion | Linking words:✦ in my opinion; I think; I believe; I admit; in my view; I concur / agree; I disagree / I cannot accept
