important, crucial, vital, essential, significant
increase, rise, grow, expand, escalate
decrease, reduce, decline, diminish, lessen
improve, enhance, boost, refine, upgrade
big, huge, massive, enormous, immense
small, tiny, miniature, petite, slight
rich, wealthy, affluent, prosperous, well-off
poor, needy, impoverished, destitute, penniless
easy, simple, effortless, straightforward, uncomplicated
difficult, hard, challenging, demanding, arduous
fast, quick, rapid, swift, speedy
slow, sluggish, gradual, leisurely, unhurried
happy, joyful, cheerful, content, delighted
sad, miserable, gloomy, downcast, depressed
interesting, fascinating, engaging, captivating, intriguing
boring, dull, tedious, monotonous, uninspiring
beautiful, gorgeous, stunning, attractive, lovely
ugly, unattractive, hideous, unsightly, plain
strong, powerful, sturdy, robust, resilient
weak, fragile, feeble, frail, delicate
begin, start, commence, initiate, launch
end, finish, conclude, terminate, cease
old, ancient, elderly, aged, antiquated
young, youthful, juvenile, adolescent, fresh
modern, contemporary, current, up-to-date, new
traditional, conventional, customary, classic, time-honored
cheap, inexpensive, low-cost, affordable, budget
expensive, costly, pricy, high-priced, over-priced
safe, secure, protected, harmless, risk-free
dangerous, hazardous, risky, perilous, unsafe
famous, well-known, renowned, notable, celebrated
unknown, obscure, unfamiliar, anonymous, nameless
common, usual, frequent, ordinary, widespread
rare, unusual, infrequent, scarce, exceptional
helpful, supportive, useful, cooperative, beneficial
harmful, damaging, dangerous, injurious, detrimental
clean, neat, tidy, spotless, hygienic
dirty, polluted, messy, contaminated, filthy
polite, courteous, respectful, well-mannered, civil
rude, impolite, ill-mannered, disrespectful, abrupt
honest, truthful, sincere, trustworthy, upright
dishonest, deceitful, untruthful, untrustworthy, fraudulent
kind, nice, gentle, caring, compassionate
mean, harsh, brutal, heartless
busy, active, occupied, engaged, hectic
lazy, idle, inactive, sluggish, lethargic
noisy, loud, boisterous, rowdy, clamorous
quiet, silent, calm, peaceful, hushed
healthy, fit, well, strong, robust
sick, ill, unwell, ailing, diseased
think, consider, ponder, reflect, contemplate
say, speak, declare, express, announce
tell, inform, notify, explain, reveal
ask, inquire, request, query, question
answer, respond, reply, acknowledge, return
see, view, observe, notice, witness
look, glance, gaze, peek, stare
watch, monitor, observe, check, view
